머리,가슴,다리,손,발,방어력,힘,민첩,지능,의지,크리티컬 저항,스태미나,세트보너스 방어력,세트보너스 힘
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,헤레몬 건틀릿,아마겟돈 스케일 부츠,5621,877,288,62,252,81,0,386,148
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,헤레몬 건틀릿,스켈레톤 부츠,5631,861,303,72,264,83,5,386,148
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,헤레몬 건틀릿,+3 수호의 레지나 웰링턴 부츠,6045,876,297,239,262,80,0,386,148
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,아마겟돈 스케일 건틀릿,블랙펄 부츠,5511,780,284,61,250,78,0,190,75
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,아마겟돈 스케일 건틀릿,노블레스 부츠,5462,841,283,63,250,80,0,215,103
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,아마겟돈 스케일 건틀릿,헤레몬 부츠,5621,875,287,62,253,79,0,386,148
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,아마겟돈 스케일 건틀릿,아마겟돈 스케일 부츠,5600,867,275,52,244,77,0,325,135
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,아마겟돈 스케일 건틀릿,스켈레톤 부츠,5475,791,290,62,256,79,5,190,75
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,아마겟돈 스케일 건틀릿,+3 수호의 레지나 웰링턴 부츠,5889,806,284,229,254,76,0,190,75
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,스켈레톤 건틀릿,블랙펄 부츠,5422,765,299,71,260,80,5,190,75
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,스켈레톤 건틀릿,노블레스 부츠,5373,826,298,73,260,82,5,215,103
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,스켈레톤 건틀릿,헤레몬 부츠,5532,860,302,72,263,81,5,386,148
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,스켈레톤 건틀릿,아마겟돈 스케일 부츠,5376,792,290,62,254,79,5,190,75
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,스켈레톤 건틀릿,스켈레톤 부츠,5577,851,305,72,266,81,10,381,150
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,스켈레톤 건틀릿,+3 수호의 레지나 웰링턴 부츠,5800,791,299,239,264,78,5,190,75
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,+3 레지나 글로브,블랙펄 부츠,5722,776,300,239,273,78,0,190,75
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,+3 레지나 글로브,노블레스 부츠,5673,837,299,241,273,80,0,215,103
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,+3 레지나 글로브,헤레몬 부츠,5832,871,303,240,276,79,0,386,148
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,+3 레지나 글로브,아마겟돈 스케일 부츠,5676,803,291,230,267,77,0,190,75
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,+3 레지나 글로브,스켈레톤 부츠,5686,787,306,240,279,79,5,190,75
노블레스 헬름,노블레스 메일,헤레몬 그리브즈,+3 레지나 글로브,+3 수호의 레지나 웰링턴 부츠,6210,842,300,407,277,76,0,300,115
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,블랙펄 건틀릿,블랙펄 부츠,5695,825,276,60,209,76,0,392,143
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,블랙펄 건틀릿,노블레스 부츠,5444,818,275,62,209,78,0,215,103
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,블랙펄 건틀릿,헤레몬 부츠,5407,779,279,61,212,77,0,190,75
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,블랙펄 건틀릿,아마겟돈 스케일 부츠,5582,844,267,51,203,75,0,325,135
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,블랙펄 건틀릿,스켈레톤 부츠,5457,768,282,61,215,77,5,190,75
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,블랙펄 건틀릿,+3 수호의 레지나 웰링턴 부츠,5871,783,276,228,213,74,0,190,75
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,노블레스 건틀릿,블랙펄 부츠,5525,817,274,62,258,79,0,215,103
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,노블레스 건틀릿,노블레스 부츠,5521,880,273,64,258,81,0,285,133
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,노블레스 건틀릿,헤레몬 부츠,5439,839,277,63,261,80,0,215,103
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,노블레스 건틀릿,아마겟돈 스케일 부츠,5614,904,265,53,252,78,0,350,163
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,노블레스 건틀릿,스켈레톤 부츠,5489,828,280,63,264,80,5,215,103
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,노블레스 건틀릿,+3 수호의 레지나 웰링턴 부츠,5903,843,274,230,262,77,0,215,103
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,헤레몬 건틀릿,블랙펄 부츠,5511,780,280,61,250,79,0,190,75
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,헤레몬 건틀릿,노블레스 부츠,5462,841,279,63,250,81,0,215,103
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,헤레몬 건틀릿,헤레몬 부츠,5621,875,283,62,253,80,0,386,148
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,헤레몬 건틀릿,아마겟돈 스케일 부츠,5600,867,271,52,244,78,0,325,135
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,헤레몬 건틀릿,스켈레톤 부츠,5475,791,286,62,256,80,5,190,75
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,헤레몬 건틀릿,+3 수호의 레지나 웰링턴 부츠,5889,806,280,229,254,77,0,190,75
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,아마겟돈 스케일 건틀릿,블랙펄 부츠,5686,843,267,51,242,75,0,325,135
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,아마겟돈 스케일 건틀릿,노블레스 부츠,5637,904,266,53,242,77,0,350,163
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,아마겟돈 스케일 건틀릿,헤레몬 부츠,5600,865,270,52,245,76,0,325,135
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,아마겟돈 스케일 건틀릿,아마겟돈 스케일 부츠,5715,900,258,42,236,74,0,400,165
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,아마겟돈 스케일 건틀릿,스켈레톤 부츠,5650,854,273,52,248,76,5,325,135
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,아마겟돈 스케일 건틀릿,+3 수호의 레지나 웰링턴 부츠,6064,869,267,219,246,73,0,325,135
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,스켈레톤 건틀릿,블랙펄 부츠,5462,768,282,61,252,77,5,190,75
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,스켈레톤 건틀릿,노블레스 부츠,5413,829,281,63,252,79,5,215,103
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,스켈레톤 건틀릿,헤레몬 부츠,5376,790,285,62,255,78,5,190,75
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,스켈레톤 건틀릿,아마겟돈 스케일 부츠,5551,855,273,52,246,76,5,325,135
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,스켈레톤 건틀릿,스켈레톤 부츠,5617,854,288,62,258,78,10,381,150
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,스켈레톤 건틀릿,+3 수호의 레지나 웰링턴 부츠,5840,794,282,229,256,75,5,190,75
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,+3 레지나 글로브,블랙펄 부츠,5762,779,283,229,265,75,0,190,75
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,+3 레지나 글로브,노블레스 부츠,5713,840,282,231,265,77,0,215,103
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,+3 레지나 글로브,헤레몬 부츠,5676,801,286,230,268,76,0,190,75
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,+3 레지나 글로브,아마겟돈 스케일 부츠,5851,866,274,220,259,74,0,325,135
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,+3 레지나 글로브,스켈레톤 부츠,5726,790,289,230,271,76,5,190,75
노블레스 헬름,노블레스 메일,아마겟돈 스케일 그리브즈,+3 레지나 글로브,+3 수호의 레지나 웰링턴 부츠,6250,845,283,397,269,73,0,300,115
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,블랙펄 건틀릿,블랙펄 부츠,5660,808,290,70,219,78,7,392,143
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,블랙펄 건틀릿,노블레스 부츠,5409,801,289,72,219,80,7,215,103
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,블랙펄 건틀릿,헤레몬 부츠,5372,762,293,71,222,79,7,190,75
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,블랙펄 건틀릿,아마겟돈 스케일 부츠,5412,767,281,61,213,77,7,190,75
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,블랙펄 건틀릿,스켈레톤 부츠,5613,826,296,71,225,79,12,381,150
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,블랙펄 건틀릿,+3 수호의 레지나 웰링턴 부츠,5836,766,290,238,223,76,7,190,75
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,노블레스 건틀릿,블랙펄 부츠,5490,800,288,72,268,81,7,215,103
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,노블레스 건틀릿,노블레스 부츠,5486,863,287,74,268,83,7,285,133
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,노블레스 건틀릿,헤레몬 부츠,5404,822,291,73,271,82,7,215,103
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,노블레스 건틀릿,아마겟돈 스케일 부츠,5444,827,279,63,262,80,7,215,103
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,노블레스 건틀릿,스켈레톤 부츠,5645,886,294,73,274,82,12,406,178
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,노블레스 건틀릿,+3 수호의 레지나 웰링턴 부츠,5868,826,288,240,272,79,7,215,103
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,헤레몬 건틀릿,블랙펄 부츠,5476,763,294,71,260,81,7,190,75
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,헤레몬 건틀릿,노블레스 부츠,5427,824,293,73,260,83,7,215,103
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,헤레몬 건틀릿,헤레몬 부츠,5586,858,297,72,263,82,7,386,148
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,헤레몬 건틀릿,아마겟돈 스케일 부츠,5430,790,285,62,254,80,7,190,75
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,헤레몬 건틀릿,스켈레톤 부츠,5631,849,300,72,266,82,12,381,150
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,헤레몬 건틀릿,+3 수호의 레지나 웰링턴 부츠,5854,789,294,239,264,79,7,190,75
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,아마겟돈 스케일 건틀릿,블랙펄 부츠,5516,766,281,61,252,77,7,190,75
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,아마겟돈 스케일 건틀릿,노블레스 부츠,5467,827,280,63,252,79,7,215,103
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,아마겟돈 스케일 건틀릿,헤레몬 부츠,5430,788,284,62,255,78,7,190,75
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,아마겟돈 스케일 건틀릿,아마겟돈 스케일 부츠,5605,853,272,52,246,76,7,325,135
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,아마겟돈 스케일 건틀릿,스켈레톤 부츠,5671,852,287,62,258,78,12,381,150
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,아마겟돈 스케일 건틀릿,+3 수호의 레지나 웰링턴 부츠,5894,792,281,229,256,75,7,190,75
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,스켈레톤 건틀릿,블랙펄 부츠,5618,826,296,71,262,79,12,381,150
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,스켈레톤 건틀릿,노블레스 부츠,5569,887,295,73,262,81,12,406,178
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,스켈레톤 건틀릿,헤레몬 부츠,5532,848,299,72,265,80,12,381,150
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,스켈레톤 건틀릿,아마겟돈 스케일 부츠,5572,853,287,62,256,78,12,381,150
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,스켈레톤 건틀릿,스켈레톤 부츠,5607,865,302,72,268,80,17,406,178
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,스켈레톤 건틀릿,+3 수호의 레지나 웰링턴 부츠,5996,852,296,239,266,77,12,381,150
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,+3 레지나 글로브,블랙펄 부츠,5727,762,297,239,275,77,7,190,75
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,+3 레지나 글로브,노블레스 부츠,5678,823,296,241,275,79,7,215,103
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,+3 레지나 글로브,헤레몬 부츠,5641,784,300,240,278,78,7,190,75
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,+3 레지나 글로브,아마겟돈 스케일 부츠,5681,789,288,230,269,76,7,190,75
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,+3 레지나 글로브,스켈레톤 부츠,5882,848,303,240,281,78,12,381,150
노블레스 헬름,노블레스 메일,스켈레톤 그리브즈,+3 레지나 글로브,+3 수호의 레지나 웰링턴 부츠,6215,828,297,407,279,75,7,300,115
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,블랙펄 건틀릿,블랙펄 부츠,5957,812,300,239,229,79,0,392,143
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,블랙펄 건틀릿,노블레스 부츠,5706,805,299,241,229,81,0,215,103
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,블랙펄 건틀릿,헤레몬 부츠,5669,766,303,240,232,80,0,190,75
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,블랙펄 건틀릿,아마겟돈 스케일 부츠,5709,771,291,230,223,78,0,190,75
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,블랙펄 건틀릿,스켈레톤 부츠,5719,755,306,240,235,80,5,190,75
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,블랙펄 건틀릿,+3 수호의 레지나 웰링턴 부츠,6243,810,300,407,233,77,0,300,115
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,노블레스 건틀릿,블랙펄 부츠,5787,804,298,241,278,82,0,215,103
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,노블레스 건틀릿,노블레스 부츠,5783,867,297,243,278,84,0,285,133
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,노블레스 건틀릿,헤레몬 부츠,5701,826,301,242,281,83,0,215,103
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,노블레스 건틀릿,아마겟돈 스케일 부츠,5741,831,289,232,272,81,0,215,103
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,노블레스 건틀릿,스켈레톤 부츠,5751,815,304,242,284,83,5,215,103
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,노블레스 건틀릿,+3 수호의 레지나 웰링턴 부츠,6275,870,298,409,282,80,0,325,143
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,헤레몬 건틀릿,블랙펄 부츠,5773,767,304,240,270,82,0,190,75
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,헤레몬 건틀릿,노블레스 부츠,5724,828,303,242,270,84,0,215,103
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,헤레몬 건틀릿,헤레몬 부츠,5883,862,307,241,273,83,0,386,148
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,헤레몬 건틀릿,아마겟돈 스케일 부츠,5727,794,295,231,264,81,0,190,75
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,헤레몬 건틀릿,스켈레톤 부츠,5737,778,310,241,276,83,5,190,75
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,헤레몬 건틀릿,+3 수호의 레지나 웰링턴 부츠,6261,833,304,408,274,80,0,300,115
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,아마겟돈 스케일 건틀릿,블랙펄 부츠,5813,770,291,230,262,78,0,190,75
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,아마겟돈 스케일 건틀릿,노블레스 부츠,5764,831,290,232,262,80,0,215,103
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,아마겟돈 스케일 건틀릿,헤레몬 부츠,5727,792,294,231,265,79,0,190,75
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,아마겟돈 스케일 건틀릿,아마겟돈 스케일 부츠,5902,857,282,221,256,77,0,325,135
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,아마겟돈 스케일 건틀릿,스켈레톤 부츠,5777,781,297,231,268,79,5,190,75
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,아마겟돈 스케일 건틀릿,+3 수호의 레지나 웰링턴 부츠,6301,836,291,398,266,76,0,300,115
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,스켈레톤 건틀릿,블랙펄 부츠,5724,755,306,240,272,80,5,190,75
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,스켈레톤 건틀릿,노블레스 부츠,5675,816,305,242,272,82,5,215,103
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,스켈레톤 건틀릿,헤레몬 부츠,5638,777,309,241,275,81,5,190,75
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,스켈레톤 건틀릿,아마겟돈 스케일 부츠,5678,782,297,231,266,79,5,190,75
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,스켈레톤 건틀릿,스켈레톤 부츠,5879,841,312,241,278,81,10,381,150
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,스켈레톤 건틀릿,+3 수호의 레지나 웰링턴 부츠,6212,821,306,408,276,78,5,300,115
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,+3 레지나 글로브,블랙펄 부츠,6134,806,307,408,285,78,0,300,115
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,+3 레지나 글로브,노블레스 부츠,6085,867,306,410,285,80,0,325,143
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,+3 레지나 글로브,헤레몬 부츠,6048,828,310,409,288,79,0,300,115
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,+3 레지나 글로브,아마겟돈 스케일 부츠,6088,833,298,399,279,77,0,300,115
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,+3 레지나 글로브,스켈레톤 부츠,6098,817,313,409,291,79,5,300,115
노블레스 헬름,노블레스 메일,+3 레지나 숏 스커트,+3 레지나 글로브,+3 수호의 레지나 웰링턴 부츠,6567,852,307,576,289,76,0,355,135
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,블랙펄 건틀릿,블랙펄 부츠,5582,735,291,68,208,78,0,222,92
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,블랙펄 건틀릿,노블레스 부츠,5678,819,290,70,208,80,0,392,143
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,블랙펄 건틀릿,헤레몬 부츠,5672,806,294,69,211,79,0,398,141
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,블랙펄 건틀릿,아마겟돈 스케일 부츠,5516,738,282,59,202,77,0,202,68
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,블랙펄 건틀릿,스켈레톤 부츠,5526,722,297,69,214,79,5,202,68
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,블랙펄 건틀릿,+3 수호의 레지나 웰링턴 부츠,5940,737,291,236,212,76,0,202,68
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,노블레스 건틀릿,블랙펄 부츠,5759,818,289,70,257,81,0,392,143
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,노블레스 건틀릿,노블레스 부츠,5508,811,288,72,257,83,0,215,103
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,노블레스 건틀릿,헤레몬 부츠,5667,845,292,71,260,82,0,386,148
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,노블레스 건틀릿,아마겟돈 스케일 부츠,5511,777,280,61,251,80,0,190,75
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,노블레스 건틀릿,스켈레톤 부츠,5521,761,295,71,263,82,5,190,75
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,노블레스 건틀릿,+3 수호의 레지나 웰링턴 부츠,5935,776,289,238,261,79,0,190,75
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,헤레몬 건틀릿,블랙펄 부츠,5776,807,295,69,249,81,0,398,141
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,헤레몬 건틀릿,노블레스 부츠,5690,847,294,71,249,83,0,386,148
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,헤레몬 건틀릿,헤레몬 부츠,5507,788,298,70,252,82,0,215,100
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,헤레몬 건틀릿,아마겟돈 스케일 부츠,5528,766,286,60,243,80,0,196,73
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,헤레몬 건틀릿,스켈레톤 부츠,5538,750,301,70,255,82,5,196,73
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,헤레몬 건틀릿,+3 수호의 레지나 웰링턴 부츠,5952,765,295,237,253,79,0,196,73
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,아마겟돈 스케일 건틀릿,블랙펄 부츠,5620,737,282,59,241,77,0,202,68
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,아마겟돈 스케일 건틀릿,노블레스 부츠,5534,777,281,61,241,79,0,190,75
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,아마겟돈 스케일 건틀릿,헤레몬 부츠,5528,764,285,60,244,78,0,196,73
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,아마겟돈 스케일 건틀릿,아마겟돈 스케일 부츠,5507,756,273,50,235,76,0,135,60
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,아마겟돈 스케일 건틀릿,스켈레톤 부츠,5382,680,288,60,247,78,5,0,0
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,아마겟돈 스케일 건틀릿,+3 수호의 레지나 웰링턴 부츠,5796,695,282,227,245,75,0,0,0
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,스켈레톤 건틀릿,블랙펄 부츠,5531,722,297,69,251,79,5,202,68
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,스켈레톤 건틀릿,노블레스 부츠,5445,762,296,71,251,81,5,190,75
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,스켈레톤 건틀릿,헤레몬 부츠,5439,749,300,70,254,80,5,196,73
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,스켈레톤 건틀릿,아마겟돈 스케일 부츠,5283,681,288,60,245,78,5,0,0
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,스켈레톤 건틀릿,스켈레톤 부츠,5484,740,303,70,257,80,10,191,75
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,스켈레톤 건틀릿,+3 수호의 레지나 웰링턴 부츠,5707,680,297,237,255,77,5,0,0
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,+3 레지나 글로브,블랙펄 부츠,5831,733,298,237,264,77,0,202,68
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,+3 레지나 글로브,노블레스 부츠,5745,773,297,239,264,79,0,190,75
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,+3 레지나 글로브,헤레몬 부츠,5739,760,301,238,267,78,0,196,73
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,+3 레지나 글로브,아마겟돈 스케일 부츠,5583,692,289,228,258,76,0,0,0
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,+3 레지나 글로브,스켈레톤 부츠,5593,676,304,238,270,78,5,0,0
노블레스 헬름,헤레몬 메일,블랙펄 그리브즈,+3 레지나 글로브,+3 수호의 레지나 웰링턴 부츠,6117,731,298,405,268,75,0,110,40
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,블랙펄 건틀릿,블랙펄 부츠,5706,821,292,70,215,79,0,392,143
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,블랙펄 건틀릿,노블레스 부츠,5455,814,291,72,215,81,0,215,103
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,블랙펄 건틀릿,헤레몬 부츠,5614,848,295,71,218,80,0,386,148
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,블랙펄 건틀릿,아마겟돈 스케일 부츠,5458,780,283,61,209,78,0,190,75
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,블랙펄 건틀릿,스켈레톤 부츠,5468,764,298,71,221,80,5,190,75
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,블랙펄 건틀릿,+3 수호의 레지나 웰링턴 부츠,5882,779,292,238,219,77,0,190,75
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,노블레스 건틀릿,블랙펄 부츠,5536,813,290,72,264,82,0,215,103
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,노블레스 건틀릿,노블레스 부츠,5532,876,289,74,264,84,0,285,133
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,노블레스 건틀릿,헤레몬 부츠,5646,908,293,73,267,83,0,411,176
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,노블레스 건틀릿,아마겟돈 스케일 부츠,5490,840,281,63,258,81,0,215,103
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,노블레스 건틀릿,스켈레톤 부츠,5500,824,296,73,270,83,5,215,103
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,노블레스 건틀릿,+3 수호의 레지나 웰링턴 부츠,5914,839,290,240,268,80,0,215,103
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,헤레몬 건틀릿,블랙펄 부츠,5718,849,296,71,256,82,0,386,148
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,헤레몬 건틀릿,노블레스 부츠,5669,910,295,73,256,84,0,411,176
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,헤레몬 건틀릿,헤레몬 부츠,5651,898,299,72,259,83,0,405,175
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,헤레몬 건틀릿,아마겟돈 스케일 부츠,5672,876,287,62,250,81,0,386,148
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,헤레몬 건틀릿,스켈레톤 부츠,5682,860,302,72,262,83,5,386,148
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,헤레몬 건틀릿,+3 수호의 레지나 웰링턴 부츠,6096,875,296,239,260,80,0,386,148
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,아마겟돈 스케일 건틀릿,블랙펄 부츠,5562,779,283,61,248,78,0,190,75
노블레스 헬름,헤레몬 메일,노블레스 그리브즈,아마겟돈 스케일 건틀릿,노블레스 부츠,5513,840,282,63,248,80,0,215,103
